,C1,L1,L2,L3,L4,NET1,NET2,NET3,NM1,NM2,NM3,NM4,PM1,VCONT1,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C,0
L1,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,L_C,0
L2,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0
L3,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0
L4,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,L_C,0,L_C,0,0,0,M_G,0,M_D,M_D,0,0,0,0,0,0,0,0
NET2,0,0,0,L_C,L_C,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0
NET3,0,L_C,0,L_C,0,0,0,0,M_D,M_D,M_G,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,M_G,0,0,M_BS
NM3,0,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_BS
PM1,0,0,0,0,0,0,M_D,0,0,0,0,0,0,M_G,M_BS,0,0,0,0,0
VCONT1,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VOUT1,C_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT2,C_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0,0,0
