,C1,C2,C3,C4,C5,C6,IB1,L1,L2,L3,L4,L5,L6,NET1,NET2,NM1,NM2,NM3,NM4,VDD,VOUT1,VOUT2,VOUT3,VOUT4,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,C_C,0
C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,C_C,0,0
C4,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,C_C
C5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C,0,0,0
C6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0
IB1,0,0,0,0,0,0,0,L_C,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,L_C,0,0
L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,L_C,0
L4,0,0,0,0,0,0,L_C,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0
L5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0,0,0
L6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0
NET1,0,0,0,C_C,0,0,0,0,0,0,L_C,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0
NET2,C_C,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,M_G,M_D,M_B
NM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,M_D,M_G,M_B
NM3,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,M_G,M_D,0,0,M_B
NM4,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,M_D,M_G,0,0,M_B
VDD,0,C_C,C_C,0,C_C,C_C,0,0,L_C,L_C,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,C_C,0,0,0,0,0,0,L_C,0,0,0,0,M_G,M_D,0,0,0,0,0,0
VOUT2,0,0,0,0,C_C,0,0,0,0,0,0,L_C,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0
VOUT3,0,0,C_C,0,0,0,0,0,L_C,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0
VOUT4,0,C_C,0,0,0,0,0,0,0,L_C,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0
VSS,C_C,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,M_B,M_B,0,0,0,0,0,0
