,C1,L1,L2,L3,L4,L5,L6,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,NM5,NM6,NM7,NM8,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C,0
L1,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0
L2,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0
L3,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0
L4,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0
L5,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0
L6,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0
NET1,0,0,L_C,0,0,0,L_C,0,0,0,0,0,0,0,0,M_G,0,M_D,M_D,0,0,0,0,0,0
NET2,0,0,0,L_C,0,0,0,0,0,0,0,M_D,M_D,M_G,0,0,M_G,0,0,0,0,0,0,0,0
NET3,0,L_C,0,0,0,L_C,0,0,0,0,0,0,0,0,0,M_D,M_D,M_G,0,0,0,0,0,0,0
NET4,0,0,0,0,L_C,0,0,0,0,0,0,M_G,0,M_D,M_D,0,0,0,M_G,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_BS
NM3,0,0,0,0,0,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_BS
NM5,0,0,0,0,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM6,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,M_B
NM7,0,0,0,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM8,0,0,0,0,0,0,0,M_D,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
VDD,0,0,0,L_C,L_C,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_S,0,0,0,0,0,0,0,0
VOUT1,C_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT2,C_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,M_BS,M_B,M_BS,M_BS,0,0,0,0,0,0
