,C1,C2,IB1,NM1,NM2,PM1,PM2,VB1,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C
C2,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
IB1,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0
NM1,0,0,M_S,0,0,0,0,0,0,0,M_G,0,M_D,M_B
NM2,0,0,M_S,0,0,0,0,0,0,M_G,0,M_D,0,M_B
PM1,0,0,0,0,0,0,0,M_G,M_BS,0,0,0,M_D,0
PM2,0,0,0,0,0,0,0,M_G,M_BS,0,0,M_D,0,0
VB1,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0
VDD,0,0,0,0,0,M_BS,M_BS,0,0,0,0,0,0,0
VIN1,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VOUT1,C_C,0,0,0,M_D,0,M_D,0,0,0,0,0,0,0
VOUT2,0,C_C,0,M_D,0,M_D,0,0,0,0,0,0,0,0
VSS,C_C,C_C,0,M_B,M_B,0,0,0,0,0,0,0,0,0
