,NET1,NET2,NET3,NM1,NM2,NM3,R1,R2,R3,R4,VB1,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
NET1,0,0,0,M_D,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0
NET2,0,0,0,0,0,M_S,0,0,0,R_C,0,0,0,0,0,0,0
NET3,0,0,0,0,M_S,0,0,0,R_C,0,0,0,0,0,0,0,0
NM1,M_D,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_BS
NM2,0,0,M_S,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_B
NM3,0,M_S,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,M_B
R1,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0
R2,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0,0
R3,R_C,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VB1,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,M_D,0,R_C,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,M_D,0,R_C,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,M_BS,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0
