,C1,NET10,NET11,NET12,NET13,NET14,NET15,NET16,NET17,NET18,NET19,NET2,NET20,NET21,NET3,NET4,NET5,NET6,NET7,NET8,NET9,NPN1,NPN10,NPN11,NPN12,NPN13,NPN14,NPN15,NPN2,NPN3,NPN4,NPN5,NPN6,NPN7,NPN8,NPN9,PNP1,PNP2,PNP3,PNP4,PNP5,PNP6,PNP7,R1,R10,R11,R12,R13,R14,R2,R3,R4,R5,R6,R7,R8,R9,VB1,VB2,VDD,VREF1,VSS
C1,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0
NET11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0
NET12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_C,0,0,0,0,B_E,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
NET14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
NET15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,B_B,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET16,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,B_C,B_C,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0
NET17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0
NET20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,B_C,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,B_E,B_B,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_C,0,0,0,0,0,0,B_B,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,B_BC,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET9,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,B_B,B_C,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN1,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_B,0
NPN10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0
NPN11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN12,0,0,0,0,0,0,B_C,0,0,0,0,0,B_E,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN13,0,0,B_B,B_E,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN14,0,0,B_E,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN15,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN2,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_B,0
NPN3,0,0,0,0,0,B_E,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0
NPN4,0,0,0,0,0,B_B,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0
NPN5,0,B_B,0,0,B_E,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN6,0,0,0,0,0,0,0,0,0,B_E,0,B_B,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
