,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,NM5,NM6,PM1,PM2,R1,R2,VDD,VIN1,VOUT1,VSS
NET1,0,0,0,0,M_G,M_G,M_DG,0,0,0,M_G,M_DG,0,0,0,0,0,0
NET2,0,0,0,0,0,M_D,0,M_S,M_S,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,M_D,M_G,M_D,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,M_G,0,0,0,R_C,R_C,0,0,0,0
NM1,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_BS
NM2,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,M_B
NM5,0,M_S,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM6,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,M_BD,0,M_S,0
PM1,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
PM2,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
R1,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
VDD,0,0,0,0,0,0,0,M_D,0,M_BD,M_BS,M_BS,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,M_D,0,0,0,0,M_S,0,0,0,R_C,0,0,0,0
VSS,0,0,0,0,M_BS,M_BS,M_BS,M_B,M_B,0,0,0,R_C,0,0,0,0,0
