,C1,C2,IB1,IB2,IB3,IB4,NM1,NM2,NM3,NM4,NM5,R1,VB1,VDD,VIN1,VIN2,VOUT1,VSS
C1,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C2,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,C_C,0
IB1,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0
IB3,C_C,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0
IB4,0,C_C,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,M_D,M_BS
NM2,0,0,0,M_S,0,M_D,0,0,0,0,0,0,M_G,0,0,0,0,M_B
NM3,0,0,0,M_S,M_G,0,0,0,0,0,0,0,0,M_D,0,0,0,M_B
NM4,0,0,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,M_G,0,M_B
NM5,0,0,M_S,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,M_B
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0
VB1,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,M_D,0,M_D,R_C,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VOUT1,C_C,C_C,0,0,0,0,M_D,0,0,0,0,R_C,0,0,0,0,0,0
VSS,0,0,0,0,0,0,M_BS,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0
