,NET2,NET3,NET4,NET5,NET6,NET7,NM1,NM2,PM1,PM2,PM3,PNP1,PNP2,PNP3,R1,R2,VDD,VOUT1,VSS
NET2,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,R_C,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,R_C,0,0,0
NET4,0,0,0,0,0,0,M_S,0,0,0,0,0,0,B_E,0,0,0,0,0
NET5,0,0,0,0,0,0,M_DG,M_G,0,M_D,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,M_D,M_G,M_G,M_DG,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,R_C,0,0,0,0
NM1,0,0,M_S,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM2,M_S,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
PM1,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_D,0
PM2,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
PM3,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
PNP1,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,B_BC
PNP2,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC
PNP3,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC
R1,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R2,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,R_C,0,0,0,0
VSS,0,0,0,0,0,0,M_B,M_B,0,0,0,B_BC,B_BC,B_BC,0,0,0,0,0
