,C1,C2,C3,C4,L1,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,PM1,PM2,PM3,PM4,R1,R2,VB1,VDD,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0
C3,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0
C4,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,L_C,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,C_C,L_C,0,0,0,0,M_G,M_D,M_G,0,M_G,M_D,M_G,0,0,0,0,0,0,0,0
NET2,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
NET3,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
NET4,C_C,0,0,0,L_C,0,0,0,0,0,M_G,M_D,M_G,0,M_G,M_D,M_G,0,0,0,0,0,0,0
NM1,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_BS
NM2,0,0,0,0,0,M_D,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,0,0,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_BS
PM1,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_D,0,0
PM2,0,0,0,0,0,M_D,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
PM3,0,0,0,0,0,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
PM4,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,M_D,0
R1,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VB1,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,0,0,M_D,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,M_D,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,0,0,0,0,R_C,R_C,0,0,0,0,0
