,IB1,L1,NET1,NET2,NM1,NM10,NM11,NM12,NM13,NM14,NM15,NM16,NM2,NM3,NM4,NM5,NM6,NM7,NM8,NM9,PM1,PM2,PM3,PM4,VCONT1,VCONT2,VCONT3,VCONT4,VCONT5,VCONT6,VDD,VOUT1,VOUT2,VSS
IB1,0,0,0,0,M_DG,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0
NET1,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,M_DG,M_G,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0
NM1,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,0,0,M_G,M_B
NM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,0,0,0,M_G,M_B
NM12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,0,0,M_G,0,M_B
NM13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,M_DS,M_B
NM14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_DS,0,M_B
NM15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,0,0,0,0,0,M_G,M_B
NM16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,0,0,0,0,M_G,0,M_B
NM2,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,M_BS
NM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,M_BS
NM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,M_G,0,M_B
NM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,M_G,M_B
NM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,0,M_G,M_B
NM8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,M_G,0,M_B
NM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,0,M_G,0,M_B
PM1,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_G,M_D,0
PM2,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_D,M_G,0
PM3,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
PM4,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
VCONT1,0,0,0,0,0,0,0,0,0,0,M_DS,M_DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT3,0,0,0,0,0,0,M_DS,M_DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT4,0,0,0,0,0,M_DS,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,M_DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DS,M_DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,M_BS,M_BS,0,0,0,0,0,0,0,0,0,0
VOUT1,0,L_C,0,0,0,0,0,M_G,0,M_DS,0,M_G,0,M_G,M_D,M_G,0,0,M_G,M_G,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0
VOUT2,0,L_C,0,0,0,M_G,M_G,0,M_DS,0,M_G,0,0,M_D,M_G,0,M_G,M_G,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,M_BS,M_B,M_B,M_B,M_B,M_B,M_B,M_B,M_BS,M_BS,M_BS,M_B,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
