,C1,C2,C3,C4,C5,C6,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NET9,NPN1,NPN2,NPN3,R1,R10,R11,R2,R3,R4,R5,R6,R7,R8,R9,VDD,VIN1,VOUT1,VSS
C1,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C2,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C3,0,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C5,0,0,0,0,0,0,C_C,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
NET2,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0
NET3,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
NET4,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
NET5,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0
NET6,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,B_B,0,0,R_C,0,0,0,0,0,0,0,R_C,0,0,0,0
NET8,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
NET9,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,B_C,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN1,0,0,0,0,0,0,0,0,0,B_B,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0
NPN2,0,0,0,0,0,0,B_B,B_E,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN3,0,0,0,0,0,0,0,0,0,0,0,B_B,B_E,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R10,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R11,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R2,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R3,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R4,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R5,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R6,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R7,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R8,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R9,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,R_C,R_C,0,R_C,0,R_C,0,R_C,0,0,0,0,0,0
VIN1,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0,R_C,0,R_C,0,R_C,R_C,0,0,0,0
