,IB1,IB2,IB3,IB4,NET10,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NET9,NPN1,NPN2,NPN3,NPN4,NPN5,NPN6,PNP1,PNP2,PNP3,PNP4,PNP5,R1,R2,R3,R4,R5,VDD,VOUT1,VSS
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,B_E,0,B_B,0,0,0,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0
IB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0
IB4,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,R_C,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,B_C,0,0,0,R_C,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,B_B,B_B,0,0,0,R_C,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0
NET8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
NET9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,R_C,0,0,0,0,0
NPN1,0,0,0,B_BC,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN2,0,0,0,B_B,0,0,B_C,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN3,0,0,0,0,0,B_B,0,B_C,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN4,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_E
NPN5,0,B_E,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0
NPN6,B_E,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0
PNP1,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC
PNP2,B_B,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C
PNP3,0,B_B,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C
PNP4,0,0,0,0,B_E,B_C,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNP5,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,B_C,0
R1,0,0,R_C,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,R_C,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3,0,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0
R5,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_C,0,0,0,0,B_E,0,0,0,R_C,R_C,0,0,0
VOUT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,B_BC,B_C,B_C,0,0,0,0,0,0,0,0,0,0
